sentence,SOCIAL_LABEL,GRI_LABEL
Tốt TNG công bố sơ yếu lý lịch của các ứng viên trong tài liệu ÐHÐCÐ.,S,GRI404-3
"Các thông tin công bố như tên, tuổi, trình độ đào tạo, chuyên môn, quá trình công tác và các vị trí đang nắm giữ tại các công ty khác,...",S,GRI404
B.2.4 Kiểm toán viên chuẩn bị được bầu chọn/ bầu chọn lại có được xác định rõ ràng?,S,GRI404-3
Tốt B.2.5 Giấy ủy quyền tham dự ÐHÐCÐ được cung cấp dễ dàng?,S,GRI407
Tốt Ðược gửi thư đến cổ đông và up trên website TNG.,S,GRI402
B.3 Phải ngăn cấm giao dịch nội gián và lạm dụng mua bán tư lợi cá nhân B.3.1 Công ty có chính sách hoặc quy định cấm TV HÐQT và nhân viên không được kiếm lợi từ những kiến thức không được công bố ra bên ngoài?,S,GRI404-3
Tốt Tham chiếu Ðiều 43 Ðiều lệ Công ty.,S,GRI404-3
B.3.2 TV HÐQT có được yêu cầu phải báo cáo giao dịch cổ phiếu Công ty trong 3 ngày làm việc?,S,GRI401-2
Tốt Tham chiếu Ðiều lệ và Quy chế nội bộ về quản trị Công ty.,S,GRI407
Tốt Tham chiếu Ðiều lệ và Quy chế nội bộ về quản trị Công ty.,S,GRI407
B.4.2 Công ty có chính sách yêu cầu một Tiểu ban gồm TV độc lập HÐQT rà soát giao dịch bên liên quan trọng yếu/quan trọng để xác định liệu những giao dịch đó có phục vụ lợi ích tốt nhất của Công ty và cổ đông không?,S,GRI402
Tốt Ủy ban kiểm toán phối hợp với Ban kiểm soát nội bộ xây dựng và ban hành Quy chế kiểm soát giao dịch với các bên có liên quan và thành viên có liên quan.,S,GRI404-3
TT NỘI DUNG CÂU HỎI ĐÁNH GIÁ CƠ SỞ ĐÁNH GIÁ B.4.3 Công ty có chính sách yêu cầu TV HÐQT không tham gia họp HÐQT trong các cuộc họp về các hoạt động giao dịch mà TV đó có xung đột lợi ích?,S,GRI404-3
"Tốt Các thành viên HÐQT có tham gia họp nhưng không được biểu quyết các nội dung khi có các hoạt động, giao dịch mà thành viên đó có xung đột lợi ích.",S,GRI404-3
B.4.4 Công ty có chính sách về khoản vay cho TV HÐQT trong đó quy định cấm hoạt động này hoặc đảm bảo rằng các khoản vay được thực hiện trên cơ sở giao dịch hợp lý theo lãi suất thị trường?,S,GRI401-2
Tốt Ðược quy định tại Ðiều lệ Công ty.,S,GRI419
B.5 Bảo vệ cổ đông thiểu số trước các hành vi lạm dụng B.5.1 Công ty có công bố về việc giao dịch bên liên quan được thực hiện theo phương thức đảm bảo rằng những giao dịch đó là hợp lý và theo cơ chế thị trường?,S,GRI419
Tốt Ðược trình bày trong Báo cáo thường niên.,S,GRI404-3
Tốt Ðược trình bày trong Báo cáo thường niên.,S,GRI404-3
"B.5.2 Trong trường hợp cần có phê duyệt của cổ đông thông qua các giao dịch các bên liên quan, việc biểu quyết phê duyệt phải được biểu quyết bởi các cổ đông không liên quan lợi ích.",S,GRI402
VAI TRÒ CỦA CÁC BÊN CÓ QUYỀN LỢI LIÊN QUAN C.1 Quyền của các bên có quyền lợi liên quan được pháp luật quy định hoặc theo các thỏa thuận song phương phải được tôn trọng.,U,
Công ty có công bố chính sách và các thực hành về: C.1.1 Công bố chính sách và các thực hành nhằm bảo vệ quyền lợi khách hàng?,S,GRI419
Tốt Được trình bày tại Chương 5: Báo cáo phát triển bền vững.,U,
Đồng thời được trình bày trong Báo cáo Doanh nghiệp bền vững.,S,GRI404-3
"C.1.2 Công bố chính sách và các thực hành, quy trình và thủ tục lựa chọn nhà cung cấp/ nhà thầu?",S,GRI402
"Tốt C.1.3 Công bố chính sách và các thực hành, mô tả nỗ lực của công ty nhằm bảo đảm chuỗi giá trị của công ty thân thiện với môi trường hoặc phù hợp với việc thúc đẩy phát triển bền vững?",S,GRI419
"Tốt C.1.4 Công bố chính sách và các thực hành, mô tả nỗ lực của công ty trong việc tương tác với cộng đồng nơi công ty hoạt động?",S,GRI413-1
"Tốt Ðược trình bày trong Báo cáo thường niên, Báo cáo Doanh nghiệp bền vững.",S,GRI404-3
"Tốt Ðược trình bày trong Báo cáo thường niên, Báo cáo Doanh nghiệp bền vững.",S,GRI404-3
BÁO CÁO THƯỜNG NIÊN 2022 QUẢN TRỊ DOANH NGHIỆP 182 183 THẺ ĐIỂM QUẢN TRỊ ASEAN (tt) TT NỘI DUNG CÂU HỎI ĐÁNH GIÁ CƠ SỞ ĐÁNH GIÁ C.1.5 Công bố chính sách và các thực hành phòng chống tham nhũng?,S,GRI412-2
"Tốt Ðược trình bày trong Báo cáo thường niên,Báo cáo Doanh nghiệp bền vững.",S,GRI404-3
"C.1.6 Công bố chính sách và các thực hành, mô tả cách thức bảo vệ quyền lợi của chủ nợ?",S,GRI407
Chưa đáp ứng TNG sẽ xem xét bổ sung các chính sách bảo vệ quyền lợi của chủ nợ.,U,
C.1.7 Công ty có viết báo cáo/ nội dung riêng mô tả các nỗ lực về các vấn đề về môi trường/ kinh tế và xã hội?,S,GRI419
"Tốt Ðược trình bày trong Báo cáo thường niên, Báo cáo Doanh nghiệp bền vững.",S,GRI404-3
"Tốt Ðược trình bày trong Báo cáo thường niên, Báo cáo Doanh nghiệp bền vững.",S,GRI404-3
"C.2 Khi lợi ích của các bên có quyền lợi liên quan được pháp luật bảo vệ, các bên có quyền lợi liên quan phải có cơ hội được khiếu nại hiệu quả khi quyền lợi của họ bị vi phạm.",S,GRI407
"Tốt TNG đã công bố thông tin liên hệ trên website Công ty, Báo cáo thường niên, Báo cáo Doanh nghiệp bền vững.",S,GRI402
C.3 Các cơ chế nâng cao hiệu quả tham gia của người lao động cần được phép xây dựng.,S,GRI402
"C.3.1 Công ty có công bố rõ ràng chính sách về sức khỏe, an toàn và phúc lợi cho nhân viên?",S,GRI403
"Tốt Ðược trình bày đầy đủ trong Báo cáo thường niên, Báo cáo doanh nghiệp bền vững.",S,GRI404-3
"Tham chiếu Thảo ước lao động tập thể, nội duy lao động, Quy chế tiền lương.",S,GRI402
C.3.2 Công ty có CBTT liên quan về chính sách và chương trình đào tạo và phát triển cho nhân viên?,S,GRI404
Tốt C.3.3 Công ty có chính sách khen thưởng để thúc đẩy hiệu quả hoạt động Công ty trong dài hạn hơn là ngắn hạn?,S,GRI402
"Tốt Ðược quy định trong quy chế thực hiện dân chủ, quy chế đối thoại tại Công ty.",S,GRI407
"Tốt Ðược quy định trong quy chế thực hiện dân chủ, quy chế đối thoại tại Công ty.",S,GRI407
"Công ty cam kết bảo mật thông tin của người gửi khiếu nại, tố giác.",S,GRI418
"Công ty cam kết bảo mật thông tin của người gửi khiếu nại, tố giác.",S,GRI418
TT NỘI DUNG CÂU HỎI ĐÁNH GIÁ CƠ SỞ ĐÁNH GIÁ C.4.2 Công ty có chính sách hay thủ tục để bảo vệ nhân viên/ cá nhân khỏi bị trả đũa vì đã tiết lộ hành vi không hợp pháp/ không phù hợp đạo đức?,S,GRI412-2
"Tốt Ðược quy định trong quy chế thực hiện dân chủ, quy chế đối thoại tại Công ty.",S,GRI407
"Tốt Ðược quy định trong quy chế thực hiện dân chủ, quy chế đối thoại tại Công ty.",S,GRI407
"Công ty cam kết bảo mật thông tin của người gửi khiếu nại, tố giác.",S,GRI418
"Công ty cam kết bảo mật thông tin của người gửi khiếu nại, tố giác.",S,GRI418
D CÔNG BỐ THÔNG TIN VÀ MINH BẠCH D.1 Cơ cấu sở hữu minh bạch D.1.1 Thông tin về cổ đông có tiết lộ danh tính của các chủ sở hữu nắm giữ 5% cổ phần trở lên?,S,GRI402
Tốt Ðược trình bày cụ thể trong Báo cáo thường niên và báo cáo quản trị Công ty.,S,GRI404-3
D.1.2 Công ty có công bố việc sở hữu cổ phần trực tiếp và (được cho là) gián tiếp của cổ đông lớn?,S,GRI402
Tốt D.1.3 Công ty có công bố việc sở hữu cổ phần trực tiếp và (được cho là) gián tiếp của TV HÐQT?,S,GRI402
Tốt D.1.4 Công ty có công bố việc sở hữu cổ phần trực tiếp và (được cho là) gián tiếp của Ban Ðiều hành?,S,GRI402
"Tốt D.1.5 Công ty có công bố chi tiết về công ty mẹ, công ty con, công ty liên kết, công ty liên doanh và doanh nghiệp/ công ty có mục đích đặc biệt (SPE)/ (SPV)?",S,GRI402
Tốt Tham chiếu Báo cáo tài chính và Báo cáo thường niên.,S,GRI404-3
D.2 Chất lượng của BCTN D.2.1 - D.2.7 BCTN của công ty có công bố những nội dung sau: Mục tiêu của công ty.,U,
Chỉ số hiệu quả tài chính.,U,
Chỉ số hiệu quả phi tài chính.,U,
Chính sách cổ tức Chi tiết tiểu sử của thành viên HÐQT.,S,GRI404-3
Chi tiết về tham gia của mỗi thành viên HÐQT trong các cuộc họp HÐQT đã thực hiện trong năm.,S,GRI404-3
Tổng thù lao của mỗi thành viên HÐQT.,S,GRI404-3
Tốt Tham chiếu Báo cáo thường niên.,S,GRI404-3
Tốt Tham chiếu Báo cáo thường niên.,S,GRI404-3
Tốt Tham chiếu Báo cáo thường niên.,S,GRI404-3
Tốt Tham chiếu Báo cáo thường niên.,S,GRI404-3
Tốt Tham chiếu Báo cáo thường niên.,S,GRI404-3
Tốt Tham chiếu Báo cáo thường niên.,S,GRI404-3
Tốt Tham chiếu Báo cáo thường niên.,S,GRI404-3
Tốt Tham chiếu Báo cáo thường niên.,S,GRI404-3
D.3 Công bố giao dịch các bên liên quan (GDBLQ) D.3.1 Công ty có công bố chính sách về rà soát và phê duyệt giao dịch bên liên quan trọng yếu?,S,GRI402
Tốt Tham chiếu Báo cáo thường niên và Báo cáo tài chính.,S,GRI404-3
"D.3.2 Công ty có công bố tên của bên liên quan, mối quan hệ, bản chất, giá trị cho mỗi giao dịch bên liên quan trọng yếu?",S,GRI402
Tốt D.4 TV HĐQT giao dịch cổ phiếu Công ty D.4.1 Công ty có công bố giao dịch cổ phiếu của công ty do người nội bộ của công ty thực hiện?,S,GRI404-3
"Tốt Trước ngày giao dịch cổ phiếu, người nội bộ CBTT/ báo cáo trước 5 ngày giao dịch.",S,GRI402
D.5 Kiểm toán độc lập và Báo cáo kiểm toán D.5.1 Phí dịch vụ kiểm toán/ phi kiểm toán có được công bố công khai?,S,GRI404-3
Chưa đầy đủ Công ty có CBTT về Công ty kiểm toán nhưng chưa công bố phí dịch vụ kiểm toán do điều khoản bảo mật trong hợp đồng kiểm toán.,S,GRI418
D.5.2 Phí dịch vụ phi kiểm toán có cao hơn phí dịch vụ kiểm toán?,S,GRI404-3
Tốt Công ty có thuê các đơn vị Big Four để tư vấn về xây dựng hệ thống kiểm toán nội bộ.,S,GRI402
Tuy nhiên phí tư vấn đảm bảo thấp hơn phí dịch vụ kiểm toán trong năm.,S,GRI404-3
D.6 Phương tiện truyền thông Công ty có sử dụng các hình thức truyền thông sau đây?,S,GRI402
"D.6.3 Ðánh giá của chuyên gia phân tích Tốt Hàng quý, Công ty tổ chức buổi họp mặt cổ đông và nhà đầu tư để cập nhật kết quả kinh doanh Công ty.",S,GRI407
"TT NỘI DUNG CÂU HỎI ĐÁNH GIÁ CƠ SỞ ĐÁNH GIÁ D.6.4 Thông tin trên phương tiện truyền thông/ họp báo Tốt Công ty thường xuyên có các bài viết cập nhật tình hình kinh doanh, quảng bá hình ảnh trên các phương tiện truyền thông.",S,GRI412-2
D.7 Nộp/ công bố BCTN/ BCTC đúng hạn D.7.1 BCTC năm đã được kiểm toán có được công bố công khai trong vòng 120 ngày kể từ thời điểm kết thúc năm tài chính?,U,
Tốt Báo cáo tài chính năm đã kiểm toán của Công ty được công bố trong vòng 10 ngày kể từ ngày kiểm toán ký Báo cáo tài chính.,S,GRI404-3
D.7.2 BCTN có được công bố công khai trong vòng 120 ngày kể từ thời điểm kết thúc năm tài chính?,U,
Tốt Báo cáo thường niên của Công ty được công bố trong vòng 20 ngày kể từ công bố Báo cáo tài chính năm kiểm toán.,S,GRI404-3
D.7.3 Sự trung thực và hợp lý của BCTC năm có được TV HÐQT hoặc thành viên điều hành có thẩm quyền của công ty khẳng định?,S,GRI407
Tốt Báo cáo tài chính đã kiểm toán có Báo cáo của Ban Tổng Giám đốc thể hiện nội dung này.,S,GRI404-3
D.8 Trang thông tin điện tử của công ty D.8.1 - D.8.6 Công ty có trang thông tin điện tử CBTT cập nhật về: Báo cáo Tài chính (quý gần nhất).,S,GRI418
Tài liệu của chuyên gia phân tích và cơ quan truyền thông.,S,GRI404-3
BCTN có thể được tải về.,S,GRI412-2
Thông báo và tài liệu họp ÐHÐCÐ và/ hoặc ÐHCÐ bất thường.,S,GRI404-3
Biên bản họp ÐHÐCÐ và/ hoặc ÐHCÐ bất thường. Ðiều lệ công ty có thể được tải về.,S,GRI404-3
"Tốt Tham chiếu website của Công ty theo link: http://www.tng.vn Mục Quan hệ cổ đông D.9 Quan hệ đầu tư D.9.1 Công ty có CBTT liên hệ (VD: số điện thoại, fax và email) của cán bộ/ Bộ phận chịu trách nhiệm QHÐT?",S,GRI402
"Tốt TNG công bố thông tin liên hệ tại Báo cáo thường niên, Báo cáo doanh nghiệp bền vững và website Công ty.",S,GRI402
Tốt Website của Công ty có công bố Quy chế nội bộ về quản trị Công ty cả tiếng Việt và tiếng Anh.,S,GRI402
BÁO CÁO THƯỜNG NIÊN 2022 QUẢN TRỊ DOANH NGHIỆP 186 187 THẺ ĐIỂM QUẢN TRỊ ASEAN (tt) TT NỘI DUNG CÂU HỎI ĐÁNH GIÁ CƠ SỞ ĐÁNH GIÁ E.1.2 Các loại quyết định phải có phê duyệt của thành viên HÐQT có được công bố công khai?,S,GRI404-3
"Tốt Các Nghị quyết/ Quyết định HÐQT được công bố thông tin theo thông tư 155/ 2015/ TT-BTC và được trình bày trong Báo cáo quản trị Công ty, Báo cáo thường niên.",S,GRI404-3
E.1.3 Vai trò và trách nhiệm của TV HÐQT có được quy định và công bố rõ ràng?,S,GRI404-3
"Tốt Ðiều lệ, Quy chế nội bộ về Quản trị Công ty thể hiện rõ vai trò và trách nhiệm của TV HÐQT.",S,GRI404-3
Tầm nhìn/ sứ mệnh của công ty E.1.4 Công ty có tuyên bố về tầm nhìn và sứ mệnh mới nhất?,S,GRI406
"Tốt Tham chiếu website Công ty, Báo cáo thường niên, Báo cáo phát triển bền vững.",S,GRI404-3
E.1.5 TV HÐQT đóng vai trò quan trọng trong quá trình phát triển và rà soát chiến lược của Công ty mỗi năm?,S,GRI404-2
"Tốt Hàng năm, HÐQT rà soát, xây dựng chiến lược Công ty và được trình bày trong Báo cáo thường niên và tài liệu ÐHÐCÐ.",S,GRI402
E.1.6 TV HÐQT có giám sát/ theo dõi việc thực hiện chiến lược của Công ty?,S,GRI404-2
"Tốt Ðịnh kỳ hàng quý, Tiểu ban Chiến lược báo cáo HÐQT việc thực thi Chiến lược theo từng quý và đề nghị các điều chỉnh phù hợp với tình hình Công ty.",S,GRI404-3
E.2 Cơ cấu HÐQT Bộ Quy tắc Ðạo đức hoặc Ứng xử E.2.1 Chi tiết của Bộ Quy tắc Ðạo đức hoặc Ứng xử có được công bố công khai?,S,GRI419
"Tốt Website của Công ty có thể hiện chi tiết, giải thích rõ ý nghĩa 07 giá trị cốt lõi Công ty về các quy tắc đạo đức và ứng xử với các bên liên quan, nhà cung cấp.",S,GRI406
"E.2.2 Công ty có công bố về việc tất cả TV HÐQT, lãnh đạo cấp cao và nhân viên phải tuân thủ bộ quy tắc?",S,GRI404-3
"Tốt Công ty đã công bố về việc tuân thủ bộ quy tắc đến HÐQT, Ban Ðiều hành, cán bộ quản lý và nhân viên.",S,GRI419
E.2.3 Công ty có công bố cách thực hiện và giám sát việc tuân thủ Bộ Quy tắc Ðạo đức hoặc Ứng xử?,S,GRI419
Tốt Báo cáo thường niên và Báo cáo bền vững có trình bày nội dung này.,S,GRI404-2
Thành phần và cơ cấu của HÐQT E.2.4 TV độc lập HÐQT có chiếm tối thiểu 50% số TV HÐQT?,S,GRI404-3
Chưa đầy đủ Thành viên độc lập HÐQT là 2/9 thành viên. Ðại hội đồng cổ đông thường niên năm 2023 Công ty đã có kế hoạch kiện toàn hoàn thiện yêu cầu này.,S,GRI413-1
TT NỘI DUNG CÂU HỎI ĐÁNH GIÁ CƠ SỞ ĐÁNH GIÁ E.2.5 Công ty có giới hạn về nhiệm kỳ 9 năm hoặc ít hơn hay 2 nhiệm kỳ 5 năm đối với TV độc lập HÐQT?,S,GRI412-2
Tốt Tham chiếu Ðiều 26 Ðiều lệ Công ty.,S,GRI404-3
E.2.6 Công ty có đặt ra giới hạn tối đa năm vị trí HÐQT mà một thành viên HÐQT độc lập/ không điều hành có thể nắm giữ đồng thời tại những công ty khác không?,S,GRI404-3
Tốt Tham chiếu Ðiều lệ Công ty.,S,GRI419
E.2.7 Công ty có TV HÐQT điều hành nào phục vụ tại hơn 2 HÐQT của các Công ty niêm yết ngoài Tập đoàn?,S,GRI402
Tốt Thành viên HÐQT điều hành Công ty chỉ nắm giữ các chức vụ tại TNG.,S,GRI402
Tiểu ban Nhân sự E.2.8 Công ty có Tiểu ban Nhân sự?,S,GRI404-3
Tốt Công ty có Tiểu ban Nhân sự trực thuộc HÐQT.,S,GRI412-2
E.2.9 Tiểu ban Nhân sự có bao gồm đa số TV độc lập HÐQT?,S,GRI404-3
Chưa đáp ứng Tiểu ban Nhân sự gồm 3 thành viên HÐQT.,S,GRI404-3
"Trong đó, thành viên độc lập HÐQT chỉ chiếm 1/3 thành viên.",S,GRI404-3
E.2.10 Chủ tịch của Tiểu ban Nhân sự có phải là TV độc lập HÐQT?,S,GRI404-3
Chưa đáp ứng Thành viên HÐQT độc lập là thành viênTiểu ban Nhân sự.,S,GRI404-3
E.2.11 Công ty có công bố quy chế hoạt động/ cơ cấu quản trị/ điều lệ của Tiểu ban Nhân sự?,S,GRI404-3
"Tốt Ðiều lệ, quy chế nội bộ về Quản trị Công ty quy định nội dung này.",S,GRI407
E.2.12 Tiểu ban Nhân sự có họp tối thiểu 2 lần trong năm và được công bố công khai?,S,GRI404-3
Tốt Ðịnh kỳ hàng quý Tiểu ban họp và gửi báo cáo cho HÐQT. Ðiều này được thể hiện trong báo cáo Quản trị Công ty.,S,GRI404-3
Tiểu ban Thù lao/ Lương thưởng E.2.13 Công ty có Tiểu ban Thù lao?,S,GRI402
Chưa đầy đủ Tiểu ban Nhân sự phụ trách.,S,GRI412-2
E.2.14 Tiểu ban Thù lao có bao gồm đa số TV độc lập HÐQT?,S,GRI404-3
Chưa đáp ứng Tương tự như mục E.2.9.,U,
E.2.15 Chủ tịch của Tiểu ban Thù lao có phải là TV độc lập HÐQT?,S,GRI404-3
Chưa đáp ứng Tương tự như mục E.2.10.,U,
E.2.16 Công ty có công bố quy chế hoạt động/cơ cấu quản trị/điều lệ của Tiểu ban Thù lao?,S,GRI402
Tốt Tương tự như mục E.2.11.,U,
BÁO CÁO THƯỜNG NIÊN 2022 QUẢN TRỊ DOANH NGHIỆP 188 189 THẺ ĐIỂM QUẢN TRỊ ASEAN (tt) TT NỘI DUNG CÂU HỎI ĐÁNH GIÁ CƠ SỞ ĐÁNH GIÁ E.2.17 Tiểu ban Thù lao có họp tối thiểu 2 lần trong năm và được công bố công khai?,S,GRI412-2
Tốt Tương tự như mục E.2.12.,U,
Tiểu ban Kiểm toán E.2.18 Công ty có Tiểu ban Kiểm toán/ Ban Kiểm soát hay không?,S,GRI404-3
Tốt Công ty có Ủy ban Kiểm toán.,S,GRI407
E.2.19 Tiểu ban Kiểm toán/ Ban Kiểm soát có bao gồm toàn bộ TV HÐQT không điều hành với đa số TV độc lập HÐQT?,S,GRI404-3
Tốt 100% thành viên Tiểu ban Kiểm toán là thành viên HÐQT không điều hành.,S,GRI404-3
E.2.20 Chủ tịch của Tiểu ban Kiểm toán có phải là TV độc lập HÐQT?,S,GRI404-3
Tốt Chủ tịch Ủy ban Kiểm toán là TV HÐQT độc lập.,S,GRI404-3
E.2.21 Công ty có công bố quy chế hoạt động/ cơ cấu quản trị/ điều lệ của Tiểu ban Kiểm toán/ Ban kiểm soát?,S,GRI404-3
"Chưa đáp ứng Ðiều lệ, quy chế nội bộ về Quản trị Công ty và quy chế hoạt động của Ủy ban Kiểm toán được công bố công khai.",S,GRI404-3
Nhưng Công ty chưa công bố quy chế hoạt động của Tiểu ban trên website.,S,GRI417
E.2.22 Tối thiểu một thành viên độc lập HÐQT của Tiểu ban Kiểm toán có chuyên môn về kế toán không (trình độ chuyên môn hoặc kinh nghiệm kế toán)?,S,GRI404-3
"Tốt Trưởng Tiểu ban Kiểm toán là người có kinh nghiệm, chuyên môn về tài chính.",S,GRI404-3
E.2.23 Tiểu ban Kiểm toán có họp tối thiểu 4 lần trong năm và được công bố công khai?,S,GRI404-3
Tốt Ðịnh kỳ hàng quý Tiểu ban họp và gửi báo cáo cho HÐQT.,S,GRI404-3
Số lượng cuộc họp được thể hiện trong báo cáo quản trị Công ty.,S,GRI404-3
E.2.24 Tiểu ban Kiểm toán có trách nhiệm chính trong việc đưa ra khuyến nghị về bổ nhiệm và miễn nhiệm kiểm toán độc lập?,S,GRI404-3
"Tốt Tham chiếu Ðiều lệ, Quy chế nội bộ về quản trị Công ty.",S,GRI407
E.3 Quy trình hoạt động của HĐQT Họp và tham dự họp HĐQT E.3.1 Họp HÐQT có được lập kế hoạch trước khi bắt đầu năm tài chính?,S,GRI404-3
Tốt Thư ký HÐQT đều lập kế hoạch họp HÐQT trong năm trình HÐQT.,S,GRI404-3
E.3.2 TV HÐQT có họp tối thiểu sáu lần trong năm?,S,GRI404-3
"Tốt Năm 2022, TNG đã tiến hành họp 27 cuộc họp HÐQT (Thể hiện trong báo cáo quản trị của Công ty năm 2022).",S,GRI402
TT NỘI DUNG CÂU HỎI ĐÁNH GIÁ CƠ SỞ ĐÁNH GIÁ E.3.3 Mỗi TV HÐQT có tham dự tối thiểu 75% số cuộc họp HÐQT trong năm?,S,GRI412-2
"Tốt 01 thành viên HÐQT tham gia với tỷ lệ 96,30%, 01 thành viên HĐQT tham gia với tỷ lệ 92,59% Các thành viên còn lại tham gia vứi tỷ lệ 100% (Nội dung này được thể hiện trong Báo cáo quản trị Công ty 2021).",S,GRI404-3
E.3.4 Công ty có yêu cầu về số đại biểu tham dự tối thiểu phải đạt 2/3 số TV HÐQT đối với các cuộc họp cần ra quyết định của HÐQT?,S,GRI404-3
Tốt Tham chiếu điều 19 Ðiều lệ Công ty tuân theo quy định của Luật doanh nghiệp 2020 về điều kiện số đại biểu tối thiểu.,U,
E.3.5 TV HÐQT không điều hành của Công ty có họp riêng tối thiểu 1 lần trong năm không có mặt các TV Ðiều hành?,S,GRI402
Chưa đáp ứng Các thành viên HÐQT không điều hành chưa tiến hành họp riêng để đánh giá hoạt động của Ban điều hành.,S,GRI404-3
Tuy nhiên các Thành viên HÐQT độc lập đều gửi ý kiến đánh giá thông qua các buổi họp HÐQT.,S,GRI412-2
Tiếp cận thông tin E.3.6 Văn bản cho các cuộc họp HÐQT có được cung cấp cho HÐQT tối thiểu 5 ngày làm việc trước cuộc họp HÐQT?,S,GRI401-2
Tốt Thông báo và các tài liệu họp HÐQT được gửi cho các thành viên HÐQT ít nhất năm (05) ngày làm việc trước ngày họp.,S,GRI401-2
E.3.7 Thư ký Công ty có đóng vai trò quan trọng trong việc hỗ trợ HÐQT thực hiện trách nhiệm của mình?,S,GRI404-2
Tốt Tham chiếu Ðiều lệ và Quy chế nội bộ về quản trị Công ty.,S,GRI407
Tốt Tham chiếu Ðiều lệ và Quy chế nội bộ về quản trị Công ty.,S,GRI407
"E.3.8 Thư ký Công ty có được đào tạo về pháp lý, kế toán hay thực hành công tác thư ký và đồng hành cùng các Phòng Ban liên quan?",S,GRI404
Tốt TNG tuân thủ tốt chỉ tiêu này.,S,GRI419
Tốt TNG tuân thủ tốt chỉ tiêu này.,S,GRI419
Bổ nhiệm và tái cử thành viên HĐQT E.3.9 Công ty có công bố các tiêu chí sử dụng để lựa chọn TV HÐQT mới?,S,GRI404-3
Tốt TNG tuân thủ tốt chỉ tiêu này.,S,GRI419
Tốt TNG tuân thủ tốt chỉ tiêu này.,S,GRI419
E.3.10 Công ty có công bố quy trình được áp dụng để bổ nhiệm TV HÐQT mới?,S,GRI404-3
Tốt E.3.11 Tất cả các TV HÐQT phải được bầu lại tối thiểu 3 năm 1 lần hoặc 5 năm đối với những Công ty niêm yết hoạt động tại quốc gia được luật pháp quy định nhiệm kỳ 5 năm?,S,GRI419
Tốt Nhiệm kỳ TV HÐQT tại TNG là 5 năm.,S,GRI404-3
Tốt Tham chiếu Báo cáo thường niên.,S,GRI404-3
Tốt Tham chiếu Báo cáo thường niên.,S,GRI404-3
Tốt Tham chiếu Báo cáo thường niên.,S,GRI404-3
Tốt Tham chiếu Báo cáo thường niên.,S,GRI404-3
E.3.13 Cơ cấu thù lao cho TV HÐQT không điều hành có được công bố công khai?,S,GRI402
Tốt E.3.14 Cổ đông hay HÐQT có thông qua thù lao của TV HÐQT điều hành và/ hoặc lãnh đạo cấp cao?,S,GRI402
Tốt Thù lao HÐQT được ÐHÐCÐ phê duyệt hàng năm.,S,GRI402
Chưa đáp ứng Sẽ xem xét bổ sung thêm chỉ tiêu này vào các năm tới.,U,
Kiểm toán nội bộ E.3.16 Công ty có chức năng KTNB riêng biệt?,S,GRI402
Tốt Công ty có Ủy ban Kiểm toán và Ban Kiểm toán nội bộ hoạt động thường xuyên quản lý kiểm soát nội bộ và quản lý rủi ro.,S,GRI408
Tham chiếu cơ cấu tổ chức Công ty.,S,GRI407
Ủy ban Kiểm toán báo cáo trực tiếp cho HÐQT.,S,GRI404-3
"E.3.17 Trưởng bộ phận KTNB có được xác định, hoặc nếu được thuê ngoài, tên của Công ty bên ngoài có được công bố công khai?",S,GRI404-3
Tốt E.3.18 Việc bổ nhiệm và miễn nhiệm KTNB có phải được Tiểu ban Kiểm toán thông qua?,S,GRI404-3
"Tốt Ðịnh kỳ hàng tháng, Ban kiểm toán nội bộ đánh giá kiểm soát nội bộ/ hệ thống quản lý rủi ro.",U,
TT NỘI DUNG CÂU HỎI ĐÁNH GIÁ CƠ SỞ ĐÁNH GIÁ E.3.20 BCTN có công bố TV HÐQT đã rà soát các chốt kiểm soát trọng yếu của Công ty và các hệ thống QLRR?,S,GRI412-2
Tốt Tham chiếu Báo cáo thường niên.,S,GRI404-3
Tốt Tham chiếu Báo cáo thường niên.,S,GRI404-3
Tốt Tham chiếu Báo cáo thường niên.,S,GRI404-3
Tốt Tham chiếu Báo cáo thường niên.,S,GRI404-3
E.3.21 Công ty có công bố những rủi ro chủ yếu?,S,GRI402
Tốt E.3.22 BCTN có trình bày tuyên bố của TV HÐQT hay Tiểu ban Kiểm toán về sự đầy đủ của các chốt kiểm soát nội bộ/ hệ thống QLRR của Công ty?,S,GRI404-3
Tốt E.4 NHÂN SỰ của HĐQT Chủ tịch HĐQT E.4.1 Hai người khác nhau đảm nhiệm vị trí chủ tịch HÐQT và TGÐ?,S,GRI404-3
"Tốt Tại TNG, chức danh Chủ tịch HÐQT và Tổng Giám đốc được tách bạch.",S,GRI402
E.4.2 Chủ tịch có phải là TV độc lập HÐQT?,S,GRI404-3
Chưa đáp ứng Chủ tịch là TV HÐQT không điều hành.,S,GRI402
E.4.3 Có bất kỳ TV HÐQT là nguyên Tổng Giám đốc/ Giám đốc điều hành của công ty trong 2 năm trước?,S,GRI404-3
Tốt TNG đáp ứng tốt chỉ tiêu này.,U,
E.4.4 Vai trò và trách nhiệm của Chủ tịch HÐQT có được công bố công khai?,S,GRI404-3
Tốt Ðiều lệ và Quy chế quản trị thể hiện cụ thể nội dung này.,S,GRI419
